resources/step-1/Black_DJI-10, BE-0.png	1199	79	69	93	255
resources/step-1/Black_DJI-10, BE-0.png	3040	74	59	82	255
resources/step-1/Black_DJI-10, BE-0.png	7015	77	62	85	255
resources/step-1/Black_DJI-10, BE-1.png	2834	63	61	64	255
resources/step-1/Black_DJI-10, BE-1.png	4364	70	64	66	255
resources/step-1/Black_DJI-10, BE-1.png	7403	69	68	64	255
resources/step-1/Black_DJI-10, BE-2.png	1099	101	97	50	255
resources/step-1/Black_DJI-10, BE-2.png	1167	104	99	57	255
resources/step-1/Black_DJI-10, BE-2.png	1514	117	107	58	255
resources/step-1/Black_DJI-10, BE-3.png	463	81	77	40	255
resources/step-1/Black_DJI-10, BE-3.png	502	91	86	57	255
resources/step-1/Black_DJI-10, BE-3.png	682	85	79	53	255
resources/step-1/Black_DJI-10, BE-5.png	18035	55	60	56	255
resources/step-1/Black_DJI-10, BE-5.png	18413	60	65	58	255
resources/step-1/Black_DJI-10, BE-5.png	19570	56	62	58	255
resources/step-1/Black_DJI-30, BE-0.png	296	75	60	79	255
resources/step-1/Black_DJI-30, BE-0.png	480	77	66	82	255
resources/step-1/Black_DJI-30, BE-0.png	528	74	58	71	255
resources/step-1/Black_DJI-30, BE-1.png	335	72	69	62	255
resources/step-1/Black_DJI-30, BE-1.png	634	79	74	68	255
resources/step-1/Black_DJI-30, BE-1.png	658	76	73	68	255
resources/step-1/Black_DJI-30, BE-2.png	86	81	80	78	255
resources/step-1/Black_DJI-30, BE-2.png	676	69	68	63	255
resources/step-1/Black_DJI-30, BE-2.png	694	104	98	72	255
resources/step-1/Black_DJI-30, BE-3.png	368	66	67	59	255
resources/step-1/Black_DJI-30, BE-3.png	683	61	62	56	255
resources/step-1/Black_DJI-30, BE-3.png	1045	66	69	62	255
resources/step-1/Black_DJI-5, BE-0.png	17227	92	82	109	255
resources/step-1/Black_DJI-5, BE-0.png	22604	87	75	97	255
resources/step-1/Black_DJI-5, BE-0.png	37005	87	75	97	255
resources/step-1/Black_DJI-5, BE-1.png	19973	66	67	62	255
resources/step-1/Black_DJI-5, BE-1.png	24543	75	72	67	255
resources/step-1/Black_DJI-5, BE-1.png	32385	99	93	71	255
resources/step-1/Black_DJI-5, BE-2.png	3562	93	90	57	255
resources/step-1/Black_DJI-5, BE-2.png	3809	80	76	47	255
resources/step-1/Black_DJI-5, BE-2.png	4058	78	74	47	255
resources/step-1/Black_DJI-5, BE-3.png	3008	71	72	58	255
resources/step-1/Black_DJI-5, BE-3.png	3196	68	70	49	255
resources/step-1/Black_DJI-5, BE-3.png	3865	83	82	51	255
resources/step-1/BW_DJI-10, BE-0.png	1790	94	80	93	255
resources/step-1/BW_DJI-10, BE-0.png	2295	80	69	77	255
resources/step-1/BW_DJI-10, BE-0.png	5882	92	79	89	255
resources/step-1/BW_DJI-10, BE-1.png	2246	109	101	64	255
resources/step-1/BW_DJI-10, BE-1.png	4659	173	165	38	255
resources/step-1/BW_DJI-10, BE-1.png	5310	137	129	57	255
resources/step-1/BW_DJI-10, BE-2.png	4518	114	111	40	255
resources/step-1/BW_DJI-10, BE-2.png	5651	140	127	25	255
